key,value
kernel32.dll;HeapCreate,30
kernel32.dll;RtlUnwind,30
kernel32.dll;SetStdHandle,30
kernel32.dll;GetStringTypeW,30
kernel32.dll;Module32First,30
kernel32.dll;GlobalFree,30
kernel32.dll;GetExitCodeProcess,30
kernel32.dll;AllocConsole,30
kernel32.dll;FreeConsole,30
kernel32.dll;WinExec,30
kernel32.dll;PeekNamedPipe,30
kernel32.dll;GetLocalTime,30
kernel32.dll;GetVolumeInformationA,30
kernel32.dll;OpenMutexA,30
kernel32.dll;lstrlenA,30
kernel32.dll;lstrcpynA,30
kernel32.dll;GetComputerNameA,30
kernel32.dll;CreateMutexW,30
kernel32.dll;ReleaseMutex,30
kernel32.dll;OpenMutexW,30
kernel32.dll;LoadLibraryExA,30
kernel32.dll;GetEnvironmentVariableW,30
kernel32.dll;BeginUpdateResourceA,30
kernel32.dll;UpdateResourceA,30
kernel32.dll;EndUpdateResourceA,30
kernel32.dll;FindResourceA,30
kernel32.dll;LoadResource,30
kernel32.dll;SizeofResource,30
kernel32.dll;LockResource,30
kernel32.dll;GetFileSize,30
kernel32.dll;DeleteFileW,30
kernel32.dll;CreateDirectoryA,30
kernel32.dll;CreateDirectoryW,30
kernel32.dll;FindNextFileW,30
kernel32.dll;FindFirstFileW,30
kernel32.dll;GetTickCount,30
kernel32.dll;GlobalAlloc,30
kernel32.dll;GetVersionExW,30
kernel32.dll;GetFullPathNameA,30
kernel32.dll;GetFullPathNameW,30
kernel32.dll;FindResourceW,30
kernel32.dll;GetModuleHandleW,30
kernel32.dll;CompareStringA,30
kernel32.dll;GetLocaleInfoW,30
kernel32.dll;GetNumberFormatW,30
kernel32.dll;SetFileAttributesW,30
kernel32.dll;GetDateFormatW,30
kernel32.dll;GetTimeFormatW,30
kernel32.dll;FileTimeToSystemTime,30
kernel32.dll;FileTimeToLocalFileTime,30
kernel32.dll;ExpandEnvironmentStringsW,30
kernel32.dll;GetTempPathW,30
kernel32.dll;MoveFileExW,30
kernel32.dll;GetCommandLineW,30
kernel32.dll;CreateFileMappingW,30
kernel32.dll;OpenFileMappingW,30
kernel32.dll;SetEnvironmentVariableW,30
kernel32.dll;CompareStringW,30
kernel32.dll;IsDBCSLeadByte,30
kernel32.dll;SetCurrentDirectoryW,30
kernel32.dll;GetFileAttributesW,30
kernel32.dll;GetCurrentDirectoryW,30
kernel32.dll;SetEndOfFile,30
kernel32.dll;MoveFileW,30
kernel32.dll;DosDateTimeToFileTime,30
kernel32.dll;GetFileSizeEx,30
user32.dll;LoadCursorA,30
user32.dll;RegisterClassA,30
user32.dll;CreateWindowExA,30
user32.dll;GetMessageA,30
user32.dll;DispatchMessageA,30
user32.dll;BeginPaint,30
user32.dll;EndPaint,30
user32.dll;PostQuitMessage,30
user32.dll;DefWindowProcA,30
user32.dll;UnregisterClassA,30
user32.dll;SetPropA,30
user32.dll;UnregisterClassW,30
user32.dll;wvsprintfW,30
user32.dll;ReleaseDC,30
user32.dll;SendMessageW,30
user32.dll;SetDlgItemTextW,30
user32.dll;SetFocus,30
user32.dll;EndDialog,30
user32.dll;DestroyIcon,30
user32.dll;SendDlgItemMessageW,30
user32.dll;GetDlgItemTextW,30
user32.dll;GetClassNameW,30
user32.dll;DialogBoxParamW,30
user32.dll;IsWindowVisible,30
user32.dll;WaitForInputIdle,30
user32.dll;SetForegroundWindow,30
user32.dll;GetSysColor,30
user32.dll;PostMessageW,30
user32.dll;LoadBitmapW,30
user32.dll;LoadIconW,30
user32.dll;CharToOemA,30
user32.dll;OemToCharA,30
user32.dll;FindWindowExW,30
user32.dll;wvsprintfA,30
user32.dll;GetParent,30
user32.dll;MapWindowPoints,30
user32.dll;SetWindowTextW,30
user32.dll;LoadCursorW,30
user32.dll;RegisterClassExW,30
user32.dll;SetWindowLongW,30
user32.dll;GetWindowLongW,30
user32.dll;DefWindowProcW,30
user32.dll;PeekMessageW,30
user32.dll;GetMessageW,30
user32.dll;DispatchMessageW,30
user32.dll;GetClientRect,30
user32.dll;IsWindow,30
user32.dll;CharToOemBuffW,30
user32.dll;MessageBoxW,30
user32.dll;GetDlgItem,30
user32.dll;OemToCharBuffA,30
user32.dll;CharUpperA,30
user32.dll;CharToOemBuffA,30
user32.dll;LoadStringW,30
user32.dll;SetWindowPos,30
user32.dll;GetWindowTextW,30
user32.dll;GetSystemMetrics,30
user32.dll;GetWindow,30
user32.dll;CharUpperW,30
user32.dll;GetWindowRect,30
user32.dll;CopyRect,30
user32.dll;GetWindowLongA,30
user32.dll;SetWindowLongA,30
user32.dll;MessageBoxA,30
gdi32.dll;TextOutA,30
gdi32.dll;GetStockObject,30
gdi32.dll;GetDeviceCaps,30
gdi32.dll;GetObjectW,30
gdi32.dll;CreateCompatibleBitmap,30
gdi32.dll;SelectObject,30
gdi32.dll;StretchBlt,30
gdi32.dll;CreateCompatibleDC,30
gdi32.dll;DeleteObject,30
gdi32.dll;DeleteDC,30
gdi32.dll;LineTo,30
advapi32.dll;RegDeleteValueA,30
advapi32.dll;RegEnumValueA,30
advapi32.dll;LookupAccountNameA,30
advapi32.dll;RegEnumKeyExA,30
advapi32.dll;IsValidSid,30
advapi32.dll;AccessCheck,30
advapi32.dll;GetSidSubAuthorityCount,30
advapi32.dll;GetSidSubAuthority,30
advapi32.dll;GetUserNameW,30
advapi32.dll;LookupAccountSidW,30
advapi32.dll;AllocateAndInitializeSid,30
advapi32.dll;RegOpenKeyExA,30
advapi32.dll;RegQueryValueExA,30
advapi32.dll;RegCreateKeyExA,30
advapi32.dll;RegSetValueExA,30
advapi32.dll;SetSecurityDescriptorGroup,30
advapi32.dll;SetSecurityDescriptorOwner,30
advapi32.dll;InitializeSecurityDescriptor,30
advapi32.dll;AddAccessAllowedAce,30
advapi32.dll;InitializeAcl,30
advapi32.dll;DuplicateTokenEx,30
advapi32.dll;OpenThreadToken,30
advapi32.dll;GetSidIdentifierAuthority,30
advapi32.dll;SetSecurityDescriptorDacl,30
advapi32.dll;SystemFunction036,30
